sample	cnv
TCGA.02.0003.01A	55570
TCGA.28.5207.01A	55237
TCGA.12.0773.01A	55808
TCGA.76.4928.01B	55565
TCGA.02.0104.01A	55677
TCGA.06.0749.01A	55590
TCGA.26.1443.01A	55751
TCGA.02.0456.01A	55665
TCGA.08.0520.01A	55677
TCGA.08.0245.01A	55061
TCGA.08.0356.01A	55598
TCGA.02.0325.01A	55699
TCGA.06.0192.01B	55508
TCGA.06.0152.01A	55513
TCGA.14.1452.01A	55574
TCGA.14.1450.01B	55669
TCGA.06.0879.01A	55514
TCGA.06.0155.01B	55591
TCGA.02.0059.01A	55668
TCGA.12.3644.01A	55667
TCGA.19.1386.01A	55540
TCGA.02.0033.01A	55591
TCGA.02.0038.01A	55487
TCGA.12.0826.01A	55560
TCGA.26.1799.01A	55620
TCGA.12.0620.01A	55628
TCGA.02.0339.01A	55139
TCGA.06.0397.01A	55089
TCGA.28.5204.01A	55336
TCGA.19.2620.01A	54905
TCGA.19.1389.01A	55674
TCGA.27.1838.01A	55222
TCGA.06.0210.02A	55334
TCGA.06.0210.01B	56687
TCGA.28.1751.01A	55462
TCGA.06.0877.01A	55385
TCGA.41.2575.01A	55555
TCGA.28.1755.01A	55001
TCGA.02.0260.01A	55548
TCGA.06.0133.01A	55401
TCGA.19.2624.01A	55399
TCGA.26.5136.01B	55524
TCGA.16.1048.01B	55585
TCGA.12.3648.01A	55369
TCGA.19.1787.01B	55699
TCGA.19.5959.01A	55516
TCGA.06.5859.01A	55087
TCGA.02.0281.01A	55375
TCGA.02.0026.01B	55646
TCGA.28.5208.01A	55657
TCGA.02.0285.01A	55586
TCGA.27.1836.01A	55406
TCGA.32.2615.01A	55689
TCGA.02.0432.01A	55839
TCGA.28.2513.01A	55574
TCGA.08.0386.01A	55364
TCGA.14.0862.01B	55454
TCGA.06.0175.01A	55448
TCGA.19.1789.01A	55157
TCGA.74.6584.01A	55492
TCGA.16.0850.01A	55071
TCGA.02.0085.01A	55570
TCGA.14.4157.01A	55561
TCGA.12.0692.01A	55680
TCGA.02.0048.01A	55597
TCGA.06.5411.01A	55525
TCGA.02.0074.01A	55619
TCGA.06.0747.01A	54981
TCGA.06.A7TK.01A	56961
TCGA.02.0021.01A	55432
TCGA.06.0744.01A	55435
TCGA.02.0114.01A	55176
TCGA.12.0662.01A	55429
TCGA.02.0089.01A	55431
TCGA.32.1978.01A	55522
TCGA.16.1045.01B	55412
TCGA.26.1442.01A	55627
TCGA.19.5953.01B	55540
TCGA.15.1444.01A	55008
TCGA.02.0043.01A	55688
TCGA.06.0140.01A	55593
TCGA.19.5947.01A	55349
TCGA.08.0351.01A	55287
TCGA.14.1453.01A	55361
TCGA.26.6174.01A	55436
TCGA.19.A6J5.01A	56827
TCGA.06.2557.01A	54871
TCGA.06.0209.01A	57064
TCGA.12.0769.01A	55363
TCGA.06.6700.01A	55534
TCGA.06.0132.01A	57062
TCGA.02.0083.01A	55179
TCGA.02.0080.01A	55684
TCGA.19.2619.01A	55344
TCGA.RR.A6KA.01A	56826
TCGA.08.0375.01A	55306
TCGA.02.0023.01B	55435
TCGA.02.0057.01A	55574
TCGA.06.0119.01A	55386
TCGA.06.0125.02A	55409
TCGA.06.0125.01A	55382
TCGA.06.0168.01A	57138
TCGA.02.0001.01C	55369
TCGA.02.0010.01A	55644
TCGA.12.0615.01A	55189
TCGA.06.0137.01A	55516
TCGA.14.1823.01A	55355
TCGA.26.6173.01A	55542
TCGA.06.0187.01A	56855
TCGA.02.0102.01A	55578
TCGA.27.2523.01A	55372
TCGA.32.2616.01A	55609
TCGA.16.1060.01A	55764
TCGA.19.0960.01A	55445
TCGA.27.2519.01A	55478
TCGA.41.2572.01A	55413
TCGA.14.1034.01A	55567
TCGA.14.1034.02B	55614
TCGA.08.0510.01A	55484
TCGA.06.0171.02A	55558
TCGA.02.0071.01A	55588
TCGA.16.1062.01A	55559
TCGA.02.0111.01A	55657
TCGA.76.6286.01A	55572
TCGA.12.0818.01A	55537
TCGA.06.0750.01A	55485
TCGA.15.1447.01A	55032
TCGA.06.A7TL.01A	56686
TCGA.14.0786.01B	55554
TCGA.06.0221.02A	54994
TCGA.26.1438.01A	55608
TCGA.12.1600.01A	55534
TCGA.02.0321.01A	55474
TCGA.06.6701.01A	55704
TCGA.32.2634.01A	55395
TCGA.02.0337.01A	55481
TCGA.28.1747.01C	55661
TCGA.12.5301.01A	55058
