sample	probe
TCGA.HT.A5RB.01A	17245
TCGA.HT.7620.01A	17269
TCGA.HW.A5KM.01A	17297
TCGA.FG.7641.01B	17283
TCGA.DU.6408.01A	17285
TCGA.RY.A83Y.01A	17297
TCGA.DU.6400.01A	17296
TCGA.WH.A86K.01A	17270
TCGA.HT.A5R7.01A	17287
TCGA.DU.7010.01A	17277
TCGA.VM.A8CE.01A	17281
TCGA.HT.7689.01A	17263
TCGA.HT.7677.01A	17283
TCGA.FG.8181.01A	17303
TCGA.HT.8018.01A	17284
TCGA.HT.7483.01A	17294
TCGA.S9.A7R3.01A	17285
TCGA.FG.A6J1.01A	17218
TCGA.CS.6665.01A	17290
TCGA.FG.5963.02A	17255
TCGA.QH.A6XC.01A	17271
TCGA.E1.A7YO.01A	17282
TCGA.TM.A84G.01A	17283
TCGA.HT.7855.01A	17303
TCGA.TM.A7C4.01A	17279
TCGA.W9.A837.01A	17256
TCGA.DU.7304.01A	17290
TCGA.FG.8182.01A	17270
TCGA.E1.5319.01A	17300
TCGA.P5.A77X.01A	17288
TCGA.HT.8563.01A	17296
TCGA.DU.A7TJ.01A	17294
TCGA.FN.7833.01A	17293
TCGA.HT.7686.01A	17290
TCGA.DB.A4XH.01A	17293
TCGA.TM.A7CF.01A	17291
TCGA.HT.A614.01A	17302
TCGA.FG.A60J.01A	17222
TCGA.CS.6669.01A	17270
TCGA.DU.A5TY.01A	17295
TCGA.VM.A8CF.01A	17284
TCGA.FG.6689.01A	17258
TCGA.P5.A5F1.01A	17290
TCGA.HT.7609.01A	17298
TCGA.HT.7902.01A	17292
TCGA.FG.8191.01A	17299
TCGA.DB.A75M.01A	17290
TCGA.S9.A7J3.01A	17294
TCGA.DH.5144.01A	17303
TCGA.S9.A6WH.01A	17074
TCGA.DB.A75O.01A	17271
TCGA.DU.8165.01A	17281
TCGA.TQ.A8XE.01A	17240
TCGA.FG.8188.01A	17216
TCGA.VV.A829.01A	17254
TCGA.HT.8010.01A	17298
TCGA.RY.A83Z.01A	17257
TCGA.DB.A4XE.01A	17293
TCGA.DU.7292.01A	17298
TCGA.S9.A6WQ.01A	17279
TCGA.DU.6396.01A	17292
TCGA.DU.6402.01A	17304
TCGA.DB.5281.01A	17297
TCGA.P5.A737.01A	17266
TCGA.DU.8166.01A	17296
TCGA.HT.7606.01A	17276
TCGA.TM.A84T.01A	17294
TCGA.HT.A5RC.01A	17250
TCGA.FG.8189.01B	17266
TCGA.QH.A6CZ.01A	17250
TCGA.DU.7299.01A	17299
TCGA.E1.A7YM.01A	17300
TCGA.VM.A8CB.01A	17275
TCGA.KT.A7W1.01A	17287
TCGA.HT.8105.01A	17302
TCGA.E1.A7YJ.01A	17285
TCGA.DB.5278.01A	17301
TCGA.E1.5311.01A	17299
TCGA.S9.A7IZ.01A	17295
TCGA.HW.A5KL.01A	17291
TCGA.S9.A6WP.01A	17281
TCGA.WY.A85D.01A	17296
TCGA.TM.A7C3.01A	17243
TCGA.CS.5395.01A	17301
TCGA.KT.A74X.01A	17242
TCGA.TQ.A7RP.01A	17292
TCGA.DB.A4XA.01A	17283
TCGA.DU.5872.01A	17274
TCGA.DU.5872.02A	17293
TCGA.TM.A84F.01A	17273
TCGA.P5.A72Z.01A	17207
TCGA.DU.6406.01A	17287
TCGA.HT.A4DV.01A	17277
TCGA.DU.7009.01A	17295
TCGA.CS.6290.01A	17293
TCGA.DU.A7T8.01A	17279
TCGA.HT.7611.01A	17297
TCGA.HT.8114.01A	17299
TCGA.WY.A85A.01A	17289
TCGA.S9.A6WI.01A	17145
TCGA.DB.5274.01A	17301
TCGA.TQ.A8XE.02A	17297
TCGA.DB.A64V.01A	17301
TCGA.QH.A6X9.01A	17246
TCGA.DU.7304.02A	17123
TCGA.HT.7882.01A	17280
TCGA.DU.A7TI.01A	17260
TCGA.HT.8106.01A	17297
TCGA.QH.A6X3.01A	17275
TCGA.FG.A713.01A	17248
TCGA.DH.A66B.01A	17251
TCGA.HW.8321.01A	17295
TCGA.FG.7634.01A	17292
TCGA.DU.A76K.01A	17266
TCGA.P5.A5F6.01A	17292
TCGA.TQ.A7RK.02B	17150
TCGA.TQ.A7RK.01A	17244
TCGA.P5.A72X.01A	17284
TCGA.DU.A76L.01A	17273
TCGA.CS.6188.01A	17272
TCGA.S9.A7J1.01A	17275
TCGA.DU.A5TU.01A	17288
TCGA.DU.7006.01A	17302
TCGA.HT.7475.01A	17301
TCGA.DU.5874.01A	17291
TCGA.S9.A6U2.01A	17211
TCGA.HT.7607.01A	17299
TCGA.R8.A6MO.01A	17098
TCGA.S9.A6TX.01A	17227
TCGA.WY.A85B.01A	17294
TCGA.HW.A5KJ.01A	17282
TCGA.TQ.A7RU.01A	17276
TCGA.P5.A5F4.01A	17288
TCGA.HT.8109.01A	17302
TCGA.R8.A6MK.01A	17254
TCGA.E1.A7YH.01A	17296
TCGA.E1.A7YD.01A	17281
TCGA.HT.7608.01A	17302
TCGA.DB.A64R.01A	17284
TCGA.CS.6670.01A	17273
TCGA.S9.A6U1.01A	17261
TCGA.DU.A5TW.01A	17298
TCGA.DB.5270.01A	17302
TCGA.HT.7602.01A	17291
TCGA.IK.8125.01A	17298
TCGA.E1.A7YS.01A	17289
TCGA.HT.7474.01A	17298
TCGA.HT.7693.01A	17280
TCGA.DB.A64P.01A	17287
TCGA.HT.7881.01A	17300
TCGA.HW.7490.01A	17301
TCGA.CS.6186.01A	17295
TCGA.DH.A66G.01A	17277
TCGA.S9.A6WD.01A	17229
TCGA.TM.A84I.01A	17280
TCGA.HT.A74O.01A	17177
TCGA.FG.5965.02A	17269
TCGA.DB.5273.01A	17304
TCGA.DU.7298.01A	17294
TCGA.FG.5965.01B	17283
TCGA.FG.5965.02B	17289
TCGA.DU.A5TP.01A	17305
TCGA.DU.7302.01A	17297
